Run,Raw_Material_USD_kWh,CVD_Coating_USD_kWh,Cell_Assembly_USD_kWh,BOS_USD_kWh,Overhead_USD_kWh,Cumulative_Production_GWh,Learning_Rate,LR_Multiplier,Total_System_Cost_USD_kWh
103,41.81,26.16,23.9,15.68,17.31,94.75,0.187,0.8148,101.74
104,40.29,24.77,27.97,20.87,14.38,80.81,0.1754,0.8322,106.77
105,27.26,41.26,26.67,23.53,16.81,81.34,0.1115,0.8932,121.07
106,29.03,48.64,24.29,18.68,14.68,5.71,0.1698,0.9298,125.82
107,41.56,21.86,24.69,19.07,14.45,7.51,0.1648,0.9234,112.32
108,31.81,35.74,30.09,23.15,17.23,81.52,0.1947,0.8134,112.27
109,49.67,33.45,22.03,23.32,18.51,45.63,0.1228,0.8976,131.92
110,38.21,29.21,23.08,11.7,16.81,93.68,0.1329,0.8686,103.38
111,42.04,24.09,28.24,25.93,15.38,69.31,0.1191,0.89,120.75
112,39.68,54.53,29.28,18.69,11.03,34.21,0.1931,0.8506,130.32
113,39.45,23.14,26.47,17.01,15.02,27.19,0.186,0.8651,104.77
114,52.17,20.78,22.6,18.13,12.12,93.37,0.1278,0.8738,109.92
115,48.67,54.32,16.64,14.54,16.0,17.0,0.186,0.8832,132.64
116,41.23,37.91,16.85,30.19,13.65,55.91,0.1961,0.8279,115.77
117,45.4,21.82,23.98,14.78,19.67,33.7,0.1128,0.9131,114.74
118,49.38,33.94,25.83,14.01,18.67,90.26,0.1952,0.8086,114.69
119,35.22,27.27,23.24,18.95,16.81,99.06,0.1886,0.8113,98.57
120,27.56,63.49,19.74,14.48,10.75,55.77,0.1902,0.8332,113.34
121,44.42,31.78,18.97,20.49,12.51,7.15,0.1058,0.9518,121.99
122,49.97,43.29,25.81,26.57,18.27,97.09,0.1939,0.8069,132.26
123,26.28,34.68,31.78,20.66,14.56,43.84,0.1995,0.8353,106.89
124,35.15,62.19,21.27,21.36,16.59,44.82,0.1712,0.8578,134.29
125,38.07,37.97,24.88,18.84,11.19,41.63,0.1837,0.8503,111.34
126,32.14,55.61,21.45,15.84,10.32,31.26,0.1487,0.8878,120.17
127,38.84,43.46,28.01,18.83,14.13,10.82,0.1097,0.9412,134.85
128,31.09,28.05,24.37,24.22,16.81,83.14,0.1473,0.8582,106.89
129,37.45,35.03,29.94,25.43,10.65,26.25,0.19,0.8637,119.61
130,45.59,32.14,25.59,20.17,17.09,46.99,0.1445,0.8785,123.51
131,23.44,27.83,25.6,23.51,16.57,22.62,0.1339,0.9081,106.2
132,31.59,22.75,20.73,16.9,18.31,2.5,0.1635,0.9556,105.39
133,51.21,60.29,20.82,17.54,13.1,52.81,0.1969,0.8296,135.19
134,33.41,15.35,27.3,13.6,19.12,19.59,0.1568,0.897,97.57
135,19.21,59.62,26.15,24.44,12.49,34.94,0.1533,0.8808,124.99
136,41.37,20.5,35.07,17.7,9.22,23.4,0.1469,0.8981,111.23
137,39.4,43.49,19.52,14.69,15.23,59.8,0.1414,0.8739,115.63
138,41.19,27.69,29.96,22.01,17.48,83.76,0.1419,0.8632,119.4
139,40.46,17.97,25.65,25.37,13.03,7.38,0.1971,0.909,111.34
140,50.18,55.34,20.13,18.52,15.76,13.74,0.128,0.9252,147.97
141,34.38,13.4,11.63,12.92,18.16,52.17,0.1478,0.8725,78.94
142,39.25,48.13,21.82,18.7,19.25,24.97,0.112,0.9208,135.5
143,36.54,36.87,22.45,20.96,17.38,85.59,0.1472,0.8574,115.06
144,45.41,53.29,22.44,22.38,14.32,66.23,0.1336,0.8779,138.57
145,46.22,44.97,29.51,23.11,14.41,77.32,0.1484,0.8594,135.97
146,42.98,44.72,22.71,20.3,13.89,83.25,0.1433,0.862,124.66
147,57.23,50.12,26.36,18.97,15.16,3.12,0.189,0.9418,158.09
148,44.43,48.93,18.03,22.74,17.29,91.36,0.1608,0.842,127.5
149,50.04,41.91,26.94,14.71,12.21,91.4,0.1408,0.8616,125.63
150,32.92,30.62,18.5,16.12,13.25,2.39,0.1393,0.9631,107.3
151,34.41,31.93,28.38,17.09,17.15,4.48,0.1053,0.9611,123.95
152,55.84,36.53,29.83,18.23,14.54,17.17,0.1232,0.9224,142.95
153,29.17,31.46,17.5,14.47,15.53,97.09,0.1888,0.812,87.8
154,46.14,83.91,34.62,23.89,16.92,55.68,0.1371,0.8798,180.79
155,50.29,33.81,22.73,15.15,14.56,44.6,0.1958,0.8376,114.36
156,49.4,22.1,26.81,9.25,12.48,89.99,0.1164,0.886,106.36
157,27.24,33.35,28.82,23.95,19.89,74.78,0.1144,0.8925,118.93
158,37.19,25.03,21.63,22.06,16.18,5.85,0.1876,0.9216,112.53
159,44.98,76.59,21.5,19.76,17.85,93.26,0.1518,0.8502,153.6
160,45.94,36.4,22.88,21.87,14.34,86.76,0.1853,0.82,115.97
161,39.93,45.12,27.29,20.43,15.93,42.36,0.1308,0.8929,132.77
162,34.43,43.01,27.92,24.65,18.64,8.35,0.1239,0.9399,139.72
163,37.81,51.09,31.98,16.93,15.99,77.1,0.163,0.8458,130.07
164,35.05,38.5,31.22,26.94,15.14,8.16,0.1315,0.9367,137.56
165,30.06,29.84,31.15,23.79,11.93,36.69,0.1034,0.9185,116.44
166,37.61,35.67,29.37,17.57,8.95,5.35,0.1901,0.9237,119.32
167,54.79,21.43,28.99,16.94,20.49,57.13,0.182,0.8394,119.73
168,37.77,32.96,22.98,20.59,15.06,37.97,0.1526,0.8786,113.67
169,27.9,71.73,22.23,15.51,22.33,85.54,0.1257,0.8782,140.25
170,37.13,46.97,17.29,19.18,16.76,57.47,0.1327,0.8828,121.22
171,53.82,33.54,31.99,25.38,13.17,66.79,0.1034,0.9053,142.96
172,27.26,78.26,25.24,20.73,14.51,17.86,0.1126,0.9282,154.07
173,39.99,27.43,26.67,28.38,19.74,81.76,0.1335,0.8719,123.99
174,45.9,40.14,10.94,16.92,19.27,91.97,0.1827,0.8202,109.23
175,30.87,31.01,21.71,21.81,17.81,74.94,0.1779,0.8327,102.6
176,41.53,32.25,29.87,17.87,10.46,8.23,0.1411,0.9319,122.98
177,32.69,40.97,26.65,19.17,10.4,81.08,0.1865,0.8215,106.7
178,30.19,44.07,21.69,22.0,18.88,73.21,0.1562,0.854,116.85
179,44.98,32.27,24.41,17.07,16.82,19.82,0.1924,0.8731,118.36
180,54.58,25.05,34.89,16.55,19.7,19.72,0.1023,0.9327,140.63
181,36.9,72.84,23.82,18.14,14.79,87.99,0.1864,0.8183,136.24
182,44.65,36.45,25.61,17.85,12.17,13.76,0.1708,0.9001,123.06
183,43.87,23.12,24.97,15.96,15.97,3.1,0.1339,0.959,118.8
184,41.39,23.25,26.04,25.78,16.39,26.76,0.1698,0.8774,116.57
185,34.49,77.61,31.02,18.78,12.7,46.22,0.1702,0.8575,149.73
186,31.89,93.78,37.41,23.32,11.26,50.95,0.1603,0.8625,170.48
187,33.62,40.04,32.38,23.03,17.0,65.82,0.1911,0.8257,120.61
188,38.57,27.38,26.17,24.1,12.44,88.97,0.1898,0.8145,104.79
189,36.65,39.98,30.96,14.66,21.04,84.0,0.123,0.8814,126.29
190,30.81,30.97,17.53,18.6,19.92,85.73,0.1236,0.8802,103.72
191,38.36,44.03,24.91,22.75,17.33,8.72,0.1459,0.9279,136.75
192,34.91,40.26,21.5,17.54,20.05,3.91,0.1678,0.9421,126.48
193,44.46,34.55,22.15,25.95,16.75,47.24,0.1757,0.8521,122.58
194,36.87,33.84,29.8,15.09,14.34,27.1,0.1989,0.8559,111.22
195,46.75,32.05,31.83,23.28,19.84,81.59,0.1262,0.8791,135.16
196,41.84,51.15,18.35,18.21,16.63,87.39,0.1538,0.8503,124.3
197,36.03,32.4,24.12,24.2,13.79,47.21,0.1208,0.8983,117.27
198,38.69,79.64,21.74,21.08,11.98,65.09,0.1854,0.8313,143.93
199,38.92,82.67,28.34,16.62,12.96,24.0,0.1373,0.904,162.27
200,41.33,30.09,30.56,23.28,18.45,58.25,0.1956,0.8266,118.78
201,42.89,30.3,36.33,13.09,14.79,68.58,0.1721,0.8414,115.61
202,36.4,34.32,30.99,18.61,20.34,37.31,0.1744,0.8619,121.23
203,38.09,27.08,30.73,18.18,16.95,62.75,0.1066,0.9038,118.42
204,40.91,49.2,19.99,21.73,17.41,4.48,0.1583,0.9415,140.52
205,16.34,56.21,21.62,9.25,13.08,78.88,0.1044,0.9007,104.93
206,44.42,58.49,25.28,20.93,13.64,55.94,0.1075,0.9056,147.4
207,32.37,32.2,37.84,21.49,10.89,5.95,0.195,0.9179,123.74
208,37.69,32.05,25.38,16.82,12.73,46.14,0.1066,0.9108,113.55
209,34.58,15.78,32.16,18.78,13.28,60.65,0.1936,0.8267,94.74
210,45.99,26.91,22.91,20.14,14.42,8.74,0.1254,0.938,122.28
211,48.2,24.11,24.88,23.78,20.95,98.56,0.102,0.8981,127.46
212,39.1,22.48,24.89,11.34,13.36,74.53,0.1971,0.8149,90.59
213,39.2,28.81,22.53,19.77,18.98,26.64,0.1464,0.8945,115.65
214,39.69,30.95,28.44,21.92,11.71,80.13,0.1318,0.8742,116.01
215,39.87,34.66,18.53,22.5,13.36,76.59,0.14,0.8677,111.87
216,48.01,60.29,15.86,19.13,15.65,23.78,0.1926,0.8657,137.59
217,64.08,55.79,23.69,22.29,17.99,79.13,0.1252,0.8808,161.92
218,38.62,22.32,27.75,19.71,15.05,9.1,0.1929,0.9031,111.49
219,44.55,41.54,21.2,24.51,14.44,68.1,0.1082,0.9005,131.69
220,33.23,25.42,36.63,16.66,17.3,62.53,0.1093,0.9014,116.49
221,33.96,37.13,24.99,17.35,15.59,95.49,0.1494,0.8517,109.88
222,31.84,59.13,25.39,21.85,10.65,64.2,0.1335,0.8789,130.83
223,50.72,28.81,19.99,22.59,19.69,35.55,0.102,0.9203,130.49
224,45.63,23.58,28.14,22.01,16.07,53.33,0.1543,0.8662,117.3
225,36.92,35.73,30.13,18.3,15.61,98.27,0.1275,0.8727,119.29
226,41.7,59.35,25.99,18.36,15.62,14.82,0.1533,0.9081,146.22
227,46.12,78.06,26.57,19.95,10.77,67.3,0.159,0.8542,155.0
228,49.57,27.36,26.22,15.59,10.55,74.57,0.1204,0.8869,114.66
229,43.27,36.89,20.49,16.73,20.47,79.89,0.1819,0.8265,113.94
230,40.74,39.08,32.21,25.85,14.03,87.18,0.1488,0.8552,129.91
231,50.55,19.82,23.44,19.33,14.81,66.44,0.1728,0.8419,107.73
232,31.17,19.39,33.64,17.9,14.09,51.53,0.1596,0.8627,100.24
233,24.63,39.85,18.97,17.68,15.71,45.41,0.1558,0.8702,101.67
234,50.05,30.12,29.53,21.16,13.09,30.41,0.1805,0.8649,124.5
235,36.41,19.98,25.93,28.43,13.83,91.81,0.1327,0.8695,108.32
236,50.7,46.07,25.46,24.6,14.47,22.84,0.1696,0.8832,142.46
237,55.36,35.87,22.04,14.76,16.35,85.11,0.1204,0.8835,127.56
238,54.83,35.16,28.35,25.13,16.87,51.56,0.1675,0.8559,137.25
239,15.9,22.58,27.68,16.66,14.95,12.99,0.1367,0.9217,90.12
240,46.41,17.69,33.93,17.41,9.58,70.84,0.1016,0.9057,113.23
241,35.93,27.55,28.35,18.13,17.92,59.59,0.1881,0.8323,106.44
242,34.78,35.69,22.96,15.3,16.95,10.51,0.1092,0.9421,118.4
243,42.98,26.36,22.85,25.14,10.88,2.49,0.1497,0.9594,123.0
244,34.99,22.57,26.62,17.68,14.74,13.06,0.1746,0.8998,104.91
245,45.99,30.16,32.43,11.61,14.1,66.37,0.1093,0.9001,120.87
246,50.57,35.49,26.94,16.61,18.4,47.81,0.1466,0.8762,129.69
247,38.38,61.64,30.11,20.79,16.96,9.48,0.1144,0.9416,158.08
248,42.87,37.17,26.48,13.12,11.46,64.05,0.1912,0.8267,108.37
249,36.34,19.46,15.61,21.08,21.14,43.03,0.1499,0.8768,99.63
250,43.74,15.59,27.27,16.45,14.99,65.18,0.1463,0.8668,102.32
251,51.34,13.12,24.04,24.46,17.2,78.29,0.1595,0.8485,110.44
252,43.28,40.1,31.14,21.82,14.55,3.36,0.1446,0.9537,143.91
253,39.05,22.98,33.26,20.32,12.47,6.5,0.1959,0.9143,117.1
254,50.48,42.71,34.02,13.8,13.5,75.13,0.1722,0.838,129.48
255,36.74,56.11,24.14,14.84,9.51,6.19,0.1847,0.9209,130.17
256,36.94,44.32,22.64,17.69,9.19,56.41,0.1113,0.9021,117.98
257,34.69,31.96,23.4,19.08,14.21,80.21,0.188,0.8205,101.2
258,27.45,73.31,24.42,26.12,13.01,6.92,0.1492,0.933,153.29
259,33.12,29.11,25.83,21.19,14.14,68.56,0.1644,0.8485,104.69
260,40.44,24.39,20.39,18.47,12.24,12.05,0.1616,0.9099,105.48
261,41.83,40.0,25.11,25.9,21.85,70.88,0.163,0.8487,131.28
262,32.26,47.69,14.84,19.64,16.03,79.48,0.1691,0.8389,109.44
263,35.92,12.44,35.76,21.74,15.15,11.76,0.1207,0.9333,112.93
264,24.86,54.58,23.85,26.21,18.99,88.28,0.1515,0.8522,126.55
265,57.5,18.27,22.87,22.87,21.54,74.57,0.123,0.8845,126.52
266,51.73,15.4,27.73,21.77,11.14,34.61,0.1106,0.9142,116.81
267,34.27,30.5,29.19,22.32,16.08,3.73,0.1708,0.9424,124.75
268,41.1,22.88,14.85,19.74,13.8,14.84,0.1533,0.908,102.04
269,32.96,41.33,21.57,20.17,16.75,39.73,0.1061,0.9146,121.43
270,48.2,40.36,32.11,13.66,15.55,52.64,0.1719,0.8514,127.6
271,45.14,39.6,29.37,17.16,12.47,75.86,0.1212,0.8857,127.32
272,29.49,57.12,19.14,19.81,18.0,67.38,0.1531,0.8595,123.38
273,32.21,30.85,30.93,21.85,14.8,94.51,0.1186,0.8826,115.31
274,39.44,40.54,28.79,18.26,16.07,61.43,0.1679,0.8493,121.53
275,51.07,17.95,20.96,29.56,17.56,47.35,0.1098,0.9075,124.41
276,36.97,51.4,24.98,23.14,17.53,52.83,0.1572,0.864,133.07
277,50.46,28.64,16.5,20.99,13.41,19.58,0.1928,0.8734,113.53
278,42.49,31.24,29.06,14.22,14.12,70.5,0.1738,0.8388,109.99
279,33.34,30.52,32.7,19.77,14.02,41.52,0.1752,0.8573,111.76
280,36.66,33.63,23.3,22.04,11.63,84.13,0.1802,0.8261,105.13
281,45.06,30.19,24.97,19.63,14.64,26.18,0.1986,0.8576,115.34
282,46.73,14.72,27.11,19.47,16.4,56.32,0.1002,0.9119,113.47
283,47.45,57.48,23.87,19.37,12.04,26.3,0.1547,0.8889,142.41
284,41.71,26.98,14.67,17.19,15.29,66.58,0.1902,0.826,95.68
285,43.57,30.13,30.39,15.0,17.86,82.41,0.1836,0.8236,112.8
286,58.05,32.4,31.03,28.74,18.29,41.94,0.1091,0.9109,153.5
287,59.26,43.17,28.43,15.99,9.82,34.17,0.1304,0.8992,140.87
288,40.38,28.74,31.98,18.13,7.22,90.24,0.1157,0.8866,112.12
289,25.86,53.61,24.34,21.01,14.62,47.09,0.1862,0.8434,117.6
290,41.03,74.08,27.22,11.78,13.73,21.91,0.1589,0.892,149.7
291,40.93,67.34,21.5,26.21,11.26,19.65,0.1821,0.8803,147.21
292,29.9,38.73,20.62,24.68,14.18,20.33,0.1668,0.8892,113.92
293,41.0,27.79,18.49,13.99,13.05,31.41,0.1474,0.8887,101.59
294,31.64,27.5,26.72,18.71,12.49,13.77,0.1966,0.885,103.6
295,43.01,30.19,25.44,23.83,12.6,69.6,0.1834,0.8304,112.17
296,44.76,24.9,30.49,19.91,15.05,48.07,0.1846,0.8439,114.03
297,44.22,41.33,16.3,24.0,8.28,69.24,0.1975,0.8176,109.66
298,47.91,31.97,26.32,26.11,14.51,32.26,0.1149,0.9126,133.98
299,43.75,34.77,33.63,16.68,23.58,42.36,0.1864,0.8474,129.17
300,46.31,30.94,25.59,21.87,17.47,54.9,0.174,0.848,120.57
301,50.34,41.92,29.5,15.18,13.71,44.97,0.1048,0.9129,137.53
302,36.46,38.77,36.72,18.14,18.24,9.13,0.1098,0.9448,140.14
303,38.85,30.39,31.82,20.28,19.3,22.84,0.1943,0.8662,121.81
304,37.16,32.98,17.87,20.59,15.87,53.12,0.131,0.8864,110.34
305,34.04,32.97,23.44,16.6,11.45,92.43,0.1152,0.8865,105.05
306,37.61,45.77,26.8,22.39,12.57,29.65,0.1912,0.8579,124.52
307,46.68,25.64,24.68,14.13,12.32,49.36,0.1793,0.8474,104.61
308,45.82,29.06,31.57,16.48,10.2,22.25,0.1512,0.8967,119.36
309,26.45,16.37,24.9,24.29,18.07,41.66,0.1696,0.8618,94.86
310,53.72,22.77,24.65,16.8,21.3,11.81,0.1999,0.8893,123.83
311,46.78,31.84,30.42,21.09,15.13,33.02,0.1232,0.9057,131.56
312,41.82,29.39,17.96,26.54,12.91,14.12,0.1278,0.9246,118.92
313,28.95,15.96,27.44,19.93,17.07,14.82,0.1193,0.9284,101.53
314,30.52,43.18,21.84,25.38,18.49,11.34,0.1276,0.9304,129.7
315,52.02,24.61,28.88,14.58,12.91,73.52,0.1108,0.8963,119.21
316,48.04,18.31,23.17,17.64,15.79,45.05,0.1842,0.8468,104.11
317,49.03,40.49,27.56,20.88,9.84,16.63,0.1163,0.9275,137.1
318,38.94,48.86,22.27,15.87,15.38,94.38,0.1383,0.8632,121.99
319,50.45,13.2,15.1,18.15,12.0,54.42,0.1573,0.8629,93.97
320,29.04,45.99,26.8,20.58,15.9,54.46,0.1858,0.838,115.91
321,30.13,32.11,18.51,20.67,13.36,53.58,0.1129,0.902,103.52
322,48.07,31.6,32.48,18.75,15.04,39.18,0.1646,0.868,126.67
323,32.66,22.36,27.82,12.67,21.47,15.16,0.1822,0.8899,104.1
324,39.68,32.89,28.63,17.41,15.3,41.15,0.1872,0.8479,113.55
325,25.8,33.75,23.59,14.39,16.44,47.76,0.192,0.838,95.5
326,17.25,86.2,24.9,19.7,14.5,79.38,0.1074,0.8977,145.92
327,31.83,43.13,13.17,19.84,9.72,73.37,0.1466,0.8629,101.55
328,36.97,34.97,26.96,19.49,13.09,71.28,0.1436,0.8665,113.93
329,32.6,56.16,19.29,16.23,13.37,31.43,0.1003,0.9242,127.21
330,44.96,49.87,26.58,13.31,16.74,89.01,0.1727,0.8312,125.9
331,48.09,19.57,19.52,25.72,16.15,63.99,0.1763,0.8402,108.42
332,44.88,45.6,28.08,20.08,15.95,4.32,0.1218,0.9558,147.75
333,30.75,36.39,25.91,18.75,17.69,63.44,0.1858,0.8319,107.72
334,44.2,26.45,18.43,19.73,11.53,68.64,0.1316,0.8787,105.74
335,30.17,23.14,31.76,14.63,21.15,86.37,0.1311,0.8727,105.47
336,54.91,33.0,24.02,25.15,9.96,86.93,0.1559,0.8484,124.76
337,40.39,34.86,20.59,17.14,11.02,34.36,0.1218,0.9057,112.31
338,33.15,55.41,30.18,19.55,16.12,4.58,0.1753,0.9345,144.3
339,40.42,14.22,22.25,21.94,11.74,41.82,0.1261,0.8972,99.2
340,41.35,21.15,24.15,22.87,15.15,63.07,0.158,0.8573,106.88
341,45.66,37.85,32.65,19.91,12.82,43.36,0.1244,0.8975,133.64
342,24.9,33.11,26.99,15.88,16.52,35.02,0.1343,0.8954,105.12
343,34.43,36.58,28.09,22.39,14.89,44.94,0.1933,0.8393,114.47
344,43.85,29.14,24.44,23.4,13.27,60.35,0.1466,0.869,116.53
345,46.23,38.66,21.69,24.69,14.92,76.5,0.168,0.8413,123.0
